Cargo,Nome da Empresa,Local,Link para a Vaga
Desenvolvedor de Análise de Dados - Trabalho Remoto,BairesDev,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=e21eb4202a4190a4&bb=MS-fLtyt8WC4rbKFHYfwbq44AyRmMVV73QHQ-MbmfjWeIsvqaiOuB3rznCNr0jq0zYAIAjoo69bUpg9IXcmX2WtetSFiYHXJtQIPVMDhixjxv1_hi1w7Ag%3D%3D&xkcb=SoCE67M3CTYukPQjkp0AbzkdCdPP&fccid=29707109e86166e5&vjs=3
Power BI - Trabalho Remoto,BairesDev,"Home office in Salvador, BA",https://br.indeed.com/rc/clk?jk=e1bda7c1ba0f70e6&bb=MS-fLtyt8WC4rbKFHYfwbk8SoXuYtADqs-F29myTrX_wyYovE2-lEF03cFZWD6kouC9ff2fqJDaWvDY6Ls_4V3c5h2xj4Eni-x-9ca-evL4EHLvzuY3ykg%3D%3D&xkcb=SoAK67M3CTYukPQjkp0HbzkdCdPP&fccid=29707109e86166e5&vjs=3
Estágio em Energia,DELFOS SERVICOS INTELIGENTES LTDA,"Fortaleza, CE",https://br.indeed.com/rc/clk?jk=5e7b3a148c471444&bb=MS-fLtyt8WC4rbKFHYfwbrJk4VHP-UtlbSF9ZOGuGEdRhUtiQ8LsxmnsJctpmhV_cSI7q204ZMqVA3gX-qihTbIufpEFICBSEIPOp0lZ_kyfb3TAEagRVg%3D%3D&xkcb=SoC-67M3CTYukPQjkp0GbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Python / Pesquisa + Desenvolvimento - Trabalho Remoto,BairesDev,"Home office in São José dos Campos, SP",https://br.indeed.com/rc/clk?jk=1fb13102d315ba69&bb=MS-fLtyt8WC4rbKFHYfwblnpI8mqek5qvpbDWbwiGa_chzGehxjv_RJPYA3E3FMYr6IMT79hEI4L7JPaqtptEAI1vMa1nnrGC38vsAzFeZ5q4rQX8QrUHg%3D%3D&xkcb=SoAj67M3CTYukPQjkp0FbzkdCdPP&fccid=29707109e86166e5&vjs=3
Desenvolvedor de RPA II,Grupo Panvel,"Remoto híbrido in Eldorado do Sul, RS",https://br.indeed.com/rc/clk?jk=2aa5a5e71735fd0c&bb=IRF9rnvxt554xEHkfnSosYTVsIKdxx6dG7Bo3rgb9zGHtBMYVvvQyU_nPsrnJ4LmJIBtSGIEqLqkViL_YjcizKXYMLVh6kdewB-KuXnPBIWgrKH_eIfsXQ%3D%3D&xkcb=SoCl67M3CTYucA2JVJ0LbzkdCdPP&fccid=336d97e8fb8f6d78&vjs=3
Estagiário / Analista de Software Embarcado,Rentbrella,"São Carlos, SP",https://br.indeed.com/rc/clk?jk=3f469b3eb36ad843&bb=IRF9rnvxt554xEHkfnSosWd0YwBNzY6ALVqQi5Aehz0zETdBqYBE9quVA6hbfnkyBEG3HybWdVqmPZMvgaQEupVqcyahOIMgeDer9HPDmizowka_UVUYtw%3D%3D&xkcb=SoAR67M3CTYucA2JVJ0KbzkdCdPP&fccid=66e35ef2adb4e167&vjs=3
Desenvolvedor Python – Porto Alegre – RS - Vaga,Divulga Vagas - Consultoria,"Porto Alegre, RS",https://br.indeed.com/rc/clk?jk=4cea7903dd8f9d74&bb=IRF9rnvxt554xEHkfnSosVb_6yt309R6yYgMUHLocXxmm9RPCJe_hgLOW0ngshxH5Nb35gipmRpCAssxhytrTUlMKXcduYmVowgktGyadTEdk2Irv-9Jcw%3D%3D&xkcb=SoCM67M3CTYucA2JVJ0JbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Analista de Performance Pl,DELFOS SERVICOS INTELIGENTES LTDA,"Home office in Fortaleza, CE",https://br.indeed.com/rc/clk?jk=144d762d717ec6ba&bb=IRF9rnvxt554xEHkfnSosYd50r3H5ZqxSnU-Y8z1wzV4bCMB0y6PGhpx03X74f1ROHpVomi8gG1Tbk_iz4HCJN3jm-pdoenzL6jv_dXHpLToe2ajcHKzog%3D%3D&xkcb=SoA467M3CTYucA2JVJ0IbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Tech | software engineer ii,Netvagas,,https://br.indeed.com/rc/clk?jk=1f4456bccc1d6be7&bb=IRF9rnvxt554xEHkfnSosZc5IpLjn_R0sGgt35GCOPbeLmqIK1aeSu3wBwmSsAT038t49surkwWiPK87GbIiqUSgEcKk_CDznFL5kM0Zu2qTJPN0wbSOgQ%3D%3D&xkcb=SoC267M3CTYucA2JVJ0PbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedor(a) Back End Pleno(a),Nama,,https://br.indeed.com/rc/clk?jk=f3b0dbbcda2f4bee&bb=IRF9rnvxt554xEHkfnSosS8wiKu26VOzCSkSCwyeaLJL3feFRZhg0sNWGM1Y9D3BdGv1YNeeYhZebYiOcwiPj_1q47HOML3hdk3g0MPg2x3YPDc6bi3ehA%3D%3D&xkcb=SoAC67M3CTYucA2JVJ0ObzkdCdPP&fccid=3ac15b327e075487&vjs=3
Estagiário,COMIT SERVICOS EM TI S.A.,"Eusébio, CE",https://br.indeed.com/rc/clk?jk=abbcd73cd18a64ae&bb=IRF9rnvxt554xEHkfnSosRaJLpYWofj3u1LCyOymrlvvRfX7jrmD_SgxhfvXz-O2NFVCOlcCnF9kvpJNFSs_TiVnSGlO_0qAJ9-rlOUNKgX2_5e1OMF9rg%3D%3D&xkcb=SoCf67M3CTYucA2JVJ0NbzkdCdPP&fccid=9db952605ad55d4f&vjs=3
Assistente de TI,Unimed Costa Verde,"Itaguaí, RJ",https://br.indeed.com/rc/clk?jk=92caf8f44aca8ee4&bb=IRF9rnvxt554xEHkfnSosSRrnDrrkyLUXUyE8l4_Adn27e0GfF-O8y8O-aXTiKeqNG0QyftagcmtnedVukrTILyUI9iiSxevpL2yOvRPn-At9_KIYgFBIg%3D%3D&xkcb=SoAr67M3CTYucA2JVJ0MbzkdCdPP&fccid=6ff093f828ef5b0e&vjs=3
Cientista de Dados - Pleno,MANFING SOFTWARE LTDA,"Home office in Toledo, PR",https://br.indeed.com/rc/clk?jk=64669e9463a0d5a1&bb=IRF9rnvxt554xEHkfnSosSCCN3MhxX__lSmOhLbOmKz5fotvhNuuvwnk809YwI8Ik5G_0N28OHdA76nxBvPXsTd_02pp-ZiEKuSmmfHVM7s4Sdq5qVg0tw%3D%3D&xkcb=SoDC67M3CTYucA2JVJ0DbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
ANALISTA DE P&D (DESENVOLVEDOR),GRUPO TOTAL,"Ribeirão Preto, SP",https://br.indeed.com/rc/clk?jk=9bbba41a6b2a5dec&bb=IRF9rnvxt554xEHkfnSoscY95zrZFALgICurrfwNv04Q5Y5_1bA4UN2KH8FqPDL2MSYG_6qEIdkmShvkF5gohiuwN_4ZkCZwkZXuVtmUvqEHA3LwMD7wZg%3D%3D&xkcb=SoB267M3CTYucA2JVJ0CbzkdCdPP&fccid=66075961a9b766e6&vjs=3
Estagiário(a) em Desenvolvimento de Software,KRYPTUS,"Home office in Campinas, SP",https://br.indeed.com/rc/clk?jk=89b6390c16ae01ed&bb=IRF9rnvxt554xEHkfnSosQsPS-23KFbXcQlXyHIeXYLqel8bWlgrQbpBQROHbYA_R-AuzBeAmt-f5HObtZQuRQ9ibkt7XS5pgmJnSfD9VSuYqMA0Ft-C-Q%3D%3D&xkcb=SoDr67M3CTYucA2JVJ0BbzkdCdPP&fccid=55d431a88bf4eb2b&vjs=3
Pesquisador (335339),Centro Nacional de Pesquisa em Energia e Materiais,"Campinas, SP",https://br.indeed.com/rc/clk?jk=dc4e0c62df4811b5&bb=IRF9rnvxt554xEHkfnSosTzL6Zh04Er3o8VWOCuTe9GJfojo3kctwYOOkbOgj76NYCMJ0F3dWJ9KeRI6Gpm0Jh7k15kKWeAZtUHc2qPvZFTcqMAKArHWoQ%3D%3D&xkcb=SoBf67M3CTYucA2JVJ0AbzkdCdPP&fccid=4b7fba9b606f4517&vjs=3
Estagiário de dados,PRINCIPIA EDUCACAO TECNOLOGIA E SERVICOS LTDA,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=596d29328d10fa57&bb=IRF9rnvxt554xEHkfnSosYd50r3H5Zqx2vQBGheKYo071zTyyHrSAZCUZIHLo2az-FYK8FBeF8QTBBWB3OE3eoVlQ0KrAdzMBjhcCmujJQryJ1sRvkxSHA%3D%3D&xkcb=SoDR67M3CTYucA2JVJ0HbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor(a) de software embarcado (3),Netvagas,,https://br.indeed.com/rc/clk?jk=dd61ba0147f3f1fb&bb=IRF9rnvxt554xEHkfnSosRkgv4FuuvrznRgXeRTI9xdDwxyO2FqRL14qxPZ0ENv61TqVqyL58aHWon-89z0-IzC0fxNy7Tvvitn30CHY6ZYURSKyKnKirA%3D%3D&xkcb=SoBl67M3CTYucA2JVJ0GbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Power BI - Trabalho Remoto,BairesDev,"Home office in Salvador, BA",https://br.indeed.com/rc/clk?jk=e1bda7c1ba0f70e6&bb=IRF9rnvxt554xEHkfnSoseI4BROo_-IaEUMB_xka5Gc2eS2VdoMLohbkzBoCvcE5W1bvS1Ce5wJViUxlwWvUMOdWPQXfC3WhWj66-gztE_6Rdz2N7KSZpQ%3D%3D&xkcb=SoD467M3CTYucA2JVJ0FbzkdCdPP&fccid=29707109e86166e5&vjs=3
Grupo Lins Ferrão | Desenvolvedor Backend Python SR,GRUPO LINS FERRAO,"Porto Alegre, RS",https://br.indeed.com/rc/clk?jk=7bdd061a676a8853&bb=gCu6KgQHToxLlI5h8blEVVYIRK6bGyFprjVaJVBmb-Jcin0rjzjYHqAJDEmowYeKLVQ8O_BEkuP9pLtXf0aYepCrsKiws4oL_NWjAELIsXX4LjFAInl-SA%3D%3D&xkcb=SoDs67M3CTYtmdWJVJ0LbzkdCdPP&fccid=797e0509d2457b1d&vjs=3
Analista de Controles Internos - Tecnologia - Junior,Digio,"Barueri, SP",https://br.indeed.com/rc/clk?jk=9ec87b6f0fa412d7&bb=gCu6KgQHToxLlI5h8blEVRZm4e6TcULzh9AI6DfpheULbo94FPTp1IASjcENwxxpWYlKqCaVDDKeA_cbuVMlKA8u4LvKNa4CHGd2mRujCsK4sQQRU0baxQ%3D%3D&xkcb=SoBY67M3CTYtmdWJVJ0KbzkdCdPP&fccid=dec45784a5e2d28c&vjs=3
Cientista de Dados,IlhaService Tecnologia,"Florianópolis, SC",https://br.indeed.com/rc/clk?jk=fcd0aa32004bb161&bb=gCu6KgQHToxLlI5h8blEVdAE1OEOZG9hD_eqo6xlbs7F3sjGtZjEA1juao_1fuSgvt9nOzjRCJvl104YCwKRUH-npz8VHqDBU5NqyHleLesZyzuskDwF1Q%3D%3D&xkcb=SoDF67M3CTYtmdWJVJ0JbzkdCdPP&fccid=848a05bbadd4db9c&vjs=3
Analista Desenvolvimento Jr,Tarraf Empreendimentos Imobiliários,"São José do Rio Preto, SP",https://br.indeed.com/rc/clk?jk=91bd1218207bb4ca&bb=gCu6KgQHToxLlI5h8blEVS3aLHea06vKBxfGZEAJ4b--1fQqIrjyObGstgyV-s6hxaI3ONbj9Y-4IP6BwkHdQ1IY7Zr_vtpd2RPz1CWP1qAFGw-D2d28Pg%3D%3D&xkcb=SoBx67M3CTYtmdWJVJ0IbzkdCdPP&fccid=e1dc47ab7b04aa94&vjs=3
"Pessoa Desenvolvedora Front-end (G1, Globo.com, Gshow, Globoplay, GE, Cartola)",Globo,,https://br.indeed.com/rc/clk?jk=84725f6efcd102f9&bb=gCu6KgQHToxLlI5h8blEVfaOwJmrsm6cvxiYLfOUvHQP4GQspbIXwMFHapGccn4uoWUl_5kKyaDCdGPjYXpw2yRi5-AsFwT7sTfewmRy3LGRzrR3mDuHTQ%3D%3D&xkcb=SoD_67M3CTYtmdWJVJ0PbzkdCdPP&fccid=0e1f81ffc3373afd&vjs=3
Desenvolvedor Web,FIESP,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=c25f375a4b10cb98&bb=gCu6KgQHToxLlI5h8blEVdWQWMEe5XfQwI54Jmud0PAkyFk4SutckkaVQkIRSg-Q3Skuy8Gu7B2EDuAo9looWzHMyXTA20vPI-6Jv-NRi8wcDuR-41BIPQ%3D%3D&xkcb=SoBL67M3CTYtmdWJVJ0ObzkdCdPP&fccid=460c5b4b58ef921f&vjs=3
Analista de Observabilidade (Remoto),Plus-IT Consulting,"Home office in Barra Mansa, RJ",https://br.indeed.com/rc/clk?jk=0189b1890cdda541&bb=gCu6KgQHToxLlI5h8blEVYNr-zVoImJSVAfyfCzYVqK40Uyh-kzspRb_hIfzp-ZDS8r67UBqiqR8mwzOF_H17q2JEG_bJ0yZo_J1GF2b1-mZ_LOcb-0CLQ%3D%3D&xkcb=SoDW67M3CTYtmdWJVJ0NbzkdCdPP&fccid=18029a0d1b99cbb7&vjs=3
Estagiário Bi - Novos Elos,Grupo Fleury,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=f3079302f8d2105c&bb=gCu6KgQHToxLlI5h8blEVZb4Yd5H6Fec346GmAclzp841Gp7vk4hxsgmfnE5Dg_GRlEPCLlmmEtQy2jXRroCH8vSgrqqVtCa48YSWrHlNbZMDZ6kSL0XAw%3D%3D&xkcb=SoBi67M3CTYtmdWJVJ0MbzkdCdPP&fccid=b8498852bc036962&vjs=3
Desenvolvedor(a) Full Stack Javascript Python,Visie Padrões Web,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=1816a4d600164137&bb=gCu6KgQHToxLlI5h8blEVR9oeYwkN-e4AS5_tkcXxK3N3QEk-VJuEdCx00nZHfJlZuznbPi2zKG0Alwca5LLy-HzvJ4SVVvbL8cd1qn6kqjv-uM52MjstQ%3D%3D&xkcb=SoCL67M3CTYtmdWJVJ0DbzkdCdPP&fccid=68edc23d19933c87&vjs=3
Senior Data Scientist (Modelos de Recomendações),Big Data,,https://br.indeed.com/rc/clk?jk=9f6a54bc27df1657&bb=gCu6KgQHToxLlI5h8blEVaK3LVT20kQHkxNxcvZ7dVdz6w3KISiKP_KRTD-dW3zfZ6NZquBfhyFQ09Dtgue7DtGUhREENk4IaCXBGG70kz7alNY7HzIuPw%3D%3D&xkcb=SoA_67M3CTYtmdWJVJ0CbzkdCdPP&fccid=1cd40d642f183854&vjs=3
SRE,Multisoftware,,https://br.indeed.com/rc/clk?jk=16964af77e0bcfc1&bb=gCu6KgQHToxLlI5h8blEVUp5Gf7f8a7TlDJvq88rTUsry6eEM3TEJOPHp061qIRyVAhtdZpFexe3qpIGGbdi_bNjhvqMuNadQFPotMMP-eoqdJeoKBNuag%3D%3D&xkcb=SoCi67M3CTYtmdWJVJ0BbzkdCdPP&fccid=2ced6fc3de324e78&vjs=3
Analista de Performance Jr,DELFOS SERVICOS INTELIGENTES LTDA,"Home office in Fortaleza, CE",https://br.indeed.com/rc/clk?jk=d154ada90b1dca96&bb=gCu6KgQHToxLlI5h8blEVW9LrNH9vtJ5XrEhDeiJdEgQCS6BsfNO9mLgPj54tKmwvgBUOrmOxw5bAGeFaLDdZnda0dFdh9kd2cid4fmM_8SHDW_E_-b93w%3D%3D&xkcb=SoAW67M3CTYtmdWJVJ0AbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Líder Técnico de Desenvolvimento,Montreal & Tecnologia & Inovação,,https://br.indeed.com/rc/clk?jk=0e949c2f5e62a41d&bb=gCu6KgQHToxLlI5h8blEVe6ETxUMWsqWsG-KBWddWCWcNZ1zLL0PZk5D3XoCLaI0j9GJIgVw7TzA9UnVcqkTTimrmLSvycfsmHw9CsH6eBySd1qozQSZcQ%3D%3D&xkcb=SoCY67M3CTYtmdWJVJ0HbzkdCdPP&fccid=bbca01ad8cafaf8a&vjs=3
O que a AGPR5 oferece para você,Agpr5,"Criciúma, SC",https://br.indeed.com/rc/clk?jk=fbdbd4e04edc1439&bb=gCu6KgQHToxLlI5h8blEVeotpsPAEdJcxZT6W6E8ncPGOkNLIMikXyj_M2wtXs7BPrgFRVZ5UydfGpSElsLofiSAx_iWULmasDPJEuS90XvBA49i_Qnpnw%3D%3D&xkcb=SoAs67M3CTYtmdWJVJ0GbzkdCdPP&fccid=456934cbe2a1c190&vjs=3
"Global Process Automation Specialist, Brazil (Remote)",3M,"Home office in Sumaré, SP",https://br.indeed.com/rc/clk?jk=512520bc98ce7ec5&bb=gCu6KgQHToxLlI5h8blEVVmrfNuCT3_V2MnOLcAamYL0aG8MSyWfDwwdi2Q0oj7NOy6n1NAUFMe17xDyeuz2uhaCdOj_OfHqAEdotr0PckXqTs6DPpRJTA%3D%3D&xkcb=SoCx67M3CTYtmdWJVJ0FbzkdCdPP&fccid=595d42593839d3a2&vjs=3
Estágio em TI - Ga Desenv Proj Industrs,ArcelorMittal,"Belo Horizonte, MG",https://br.indeed.com/rc/clk?jk=8414115af1c43372&bb=8HoxHx8uijZU9Rbhh-Rzh6g-Umx2WyjYOE-6oexOos9dZmlTOi_TowY4DeoYVfJ71mVmOHvfGFqtt6_hmMDL_j8NXf9gw1mwNSV9kyFnhaPKTDaQ2j6C5w%3D%3D&xkcb=SoCU67M3CTYs0r2an50LbzkdCdPP&fccid=bda188b9f14e6d2e&vjs=3
0913 | Analista de Desenvolvimento de Sistemas | Sede,Sicredi,"Campo Grande, MS",https://br.indeed.com/rc/clk?jk=d33bdf53b630843b&bb=8HoxHx8uijZU9Rbhh-Rzh6XV988rp9LYqgesGJrPtrULPnWXChLFyRFuSaELSfuxMS-wz6fDsmKwh9FTN1Vlx5rR-EiwkMiHUONzhHicC_GcP_6Vhn4LBQ%3D%3D&xkcb=SoAg67M3CTYs0r2an50KbzkdCdPP&fccid=0bedb393cb03c383&vjs=3
Estagiário de TI,Constellation Oil Services,"Rio de Janeiro, RJ",https://br.indeed.com/rc/clk?jk=55a6d76c16857831&bb=8HoxHx8uijZU9Rbhh-Rzhy8bQhZzNujS2SSY9_QJAsxnwQOYipU4I1N44CegYC-hkZ2YDj_qmVvZ5xJJ6W5bOg7LS4LyUcZ9xzat9oEHDZ1mDmDyMTBNMw%3D%3D&xkcb=SoC967M3CTYs0r2an50JbzkdCdPP&fccid=e02f36ecadf72eeb&vjs=3
Cientista de Dados Python,GeekHunter,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=778c17b8fe381632&bb=8HoxHx8uijZU9Rbhh-Rzh7tWCB5OxDSpYE8Gt0zPuBL38PpwsHmADkTpvMpJKopE80MWbZ0umUSK3xF1p6qMdGa9dpX0YFWLBmtnceMzoPKQdSyTDenWxw%3D%3D&xkcb=SoAJ67M3CTYs0r2an50IbzkdCdPP&fccid=9ba8dec3013c0c90&vjs=3
Estágio em Planejamento Estratégico | Vaga afirmativa para mulheres,Cielo,"Home office in Barueri, SP",https://br.indeed.com/rc/clk?jk=f180c03713ec510c&bb=8HoxHx8uijZU9Rbhh-Rzh8JTOA1qSppHQ2KuLdz9oO3G4_3y9fIf87b33xmMQLaXITjEBXtHbodUXiz7HFS2nfTJtfzXT93iUFtK8O6QQzL86vIGAFe9Zg%3D%3D&xkcb=SoCH67M3CTYs0r2an50PbzkdCdPP&fccid=914d1e1f722393dc&vjs=3
Analista Econômico,GEP,"Paulo, PB",https://br.indeed.com/rc/clk?jk=3a591158703c79f2&bb=8HoxHx8uijZU9Rbhh-Rzh2uLEKKlqwevrCKErqMmmZAc5EvFlJwMRVrxkZjskv_-WmiK-dk-pWZKPQK0yIyksmQvg1ni7kQ5u17y4Qdn3iWmDJDm1TYZJw%3D%3D&xkcb=SoAz67M3CTYs0r2an50ObzkdCdPP&fccid=ad3696bbd9c1d70b&vjs=3
Analista GIS Sênior (ArcGIS e Python) (Soluções),Imagem Geosistemas,,https://br.indeed.com/rc/clk?jk=09586ff3fb58113d&bb=8HoxHx8uijZU9Rbhh-Rzh6n3Tj--Bggc3Fs9HQNiJnUyqfnVeRA9TxMyWREhQTchvh6uQ_Q22B5D49VlRotSD7yUHWGUv892ZEZSrvIWc4SZHmjFzX0cJw%3D%3D&xkcb=SoCu67M3CTYs0r2an50NbzkdCdPP&fccid=c6440c0bc4677975&vjs=3
Pessoa engenheira de machine learning [pleno],Netvagas,,https://br.indeed.com/rc/clk?jk=6f351f4d2bc09336&bb=8HoxHx8uijZU9Rbhh-Rzh6XV988rp9LY3vt6tHcgNkle8NsqY-pF6qJf3ogWAMehMjspMWly36ZnECJ2nnmahWz_bdOMDvniEE7whsYv_GsaWMQSI6aoEw%3D%3D&xkcb=SoAa67M3CTYs0r2an50MbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
ANALISTA DE DESENVOLVIMENTO,TLP Serviços,,https://br.indeed.com/rc/clk?jk=85c173584c739ca9&bb=8HoxHx8uijZU9Rbhh-Rzh88Z5edU8iHKg4bJQmhVk_y7Lx8Tx4ZzqnsdXHiHHuc6_4YMC-f5PI2n1AWipaJow2FbVncS3GRWc7VKO2NcSygJ0RHRz8DAHg%3D%3D&xkcb=SoDz67M3CTYs0r2an50DbzkdCdPP&fccid=06749342f515c3a3&vjs=3
Programador de Sistemas,ESPECIALISTAS INTELIGENCIA CONTABIL LTDA,"Goiânia, GO",https://br.indeed.com/rc/clk?jk=74ce6eff7a29e66a&bb=8HoxHx8uijZU9Rbhh-RzhxY9X9HAQH6dN8XIFJcZ1mOZvVQIbinWu-avIVgZc7UfIBO88qInfzPQ6o2Rw8k4N2pe4wCar-ha9B_X3tg9AeodacCn-dAVCA%3D%3D&xkcb=SoBH67M3CTYs0r2an50CbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados - Superintendência Regional Sicredi Ibiraiaras RS / MG,Sicredi,"Ibiraiaras, RS",https://br.indeed.com/rc/clk?jk=6caedfb50ca4ce7a&bb=8HoxHx8uijZU9Rbhh-Rzh7fJC9AsWZl38J-ieFqHs_jvei9V3hWWr45JlUbtwgH7GZjjwqwvFr-Tgsf9JE1-mHKFnlQzeQmh6y06svL74II_nBafmsphfQ%3D%3D&xkcb=SoDa67M3CTYs0r2an50BbzkdCdPP&fccid=0bedb393cb03c383&vjs=3
Desenvolvedor (com Experiência Em Python) – Porto Alegre – RS - Vaga,Divulga Vagas - Consultoria,"Porto Alegre, RS",https://br.indeed.com/rc/clk?jk=dd1ec3ab3912837a&bb=8HoxHx8uijZU9Rbhh-Rzh_x1wDQTXo8jNbxdngm-SLq01LG4yhHw5i-tjUDja2aNKJJmVrrzJYtB2VtTSqz8LP0FBArD-ojd-IM3Hm0W5l3IeutuXbSthQ%3D%3D&xkcb=SoBu67M3CTYs0r2an50AbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
DESENVOLVEDOR RPA | PYTHON PLENO (FORMATO HÍBRIDO DE TRABALHO),FM2C,"Campinas, SP",https://br.indeed.com/rc/clk?jk=fdd74face845e337&bb=8HoxHx8uijZU9Rbhh-Rzhzec5bxgP5Tl8duoKmZ2ZU5bSoUUQiHsx31_1J9rxuyCwqcIwSqURK9Mz8Qbn-zvNVJCCYKMAm5r6ndQrzYkrZFg-bhSng5jsw%3D%3D&xkcb=SoDg67M3CTYs0r2an50HbzkdCdPP&fccid=16bbe15d304af728&vjs=3
Pessoa Estagiária de Automação (P.R.E.M.I.A),CERTI,"Remoto híbrido in Florianópolis, SC",https://br.indeed.com/rc/clk?jk=0ec33a547ec34cb1&bb=8HoxHx8uijZU9Rbhh-Rzh2Xi94XUEivge9EgPI5QyIMOwZbxfcFnzzklvfWkS6E7cEjNuRbdzIdrFcDCqvpSuXOfUBFh1I5j7t3HQtUb-AhP3KgFW9Sy_w%3D%3D&xkcb=SoBU67M3CTYs0r2an50GbzkdCdPP&fccid=fdc4f47c41fd90c5&vjs=3
Analista de Dados Jr.,Westwing,"Remoto híbrido in São Paulo, SP",https://br.indeed.com/rc/clk?jk=425f9eef325a4a5c&bb=8HoxHx8uijZU9Rbhh-Rzh-FfEpsoOvZl7HoUJ00yZBKIFf_0keav_UDFTzlDrihYvdeEYwjJqioe2Jal5dvFUzHsV9qOIAOUGm5bzaoKV45lcf7H-Vs5Kw%3D%3D&xkcb=SoDJ67M3CTYs0r2an50FbzkdCdPP&fccid=3c604cde8304333c&vjs=3
Consultor(a) Segurança da Informação,Grupo Carrefour Brasil,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=f76bedad5da0f9fc&bb=SrN5kit2zhmcE5L7fapUxirZ-nzQIcWm-EXOBuio2inFvt6WxJtXCAho5xWCDYGEV3th_vl3vHwfk-4ieJkiIT1m-yiAoKM4GvLDWPT_gcnsi_D1INILww%3D%3D&xkcb=SoBP67M3CTYqoaTA550LbzkdCdPP&fccid=669350d87ae4a4a6&vjs=3
SRE | Analista DevOps Jr,Pmweb,,https://br.indeed.com/rc/clk?jk=8ab415664fb4c779&bb=SrN5kit2zhmcE5L7fapUxoC_Z9h0nT2YugBpoEpk_T1hzP5Wp_hHT1QPiSF2epghJQE6cHc4XID8JA1q8scIm-mlXBVEqmSYZD3vqCPNFtnxd459dHElDQ%3D%3D&xkcb=SoD767M3CTYqoaTA550KbzkdCdPP&fccid=d5d176aad6a537a0&vjs=3
Pessoa Desenvolvedora Backend Python Pleno,NAVA | Technology for Business,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=e3a26c23b8d8979e&bb=SrN5kit2zhmcE5L7fapUxg40f6_b9ZJMhBU2aLzXLrVIMSpz-ZiqEraa_0Nhu8ddbC70T8dyEp1sshT5Y9QTDZ_ARnoVSoEQnON9727Izqa7Th_CxnrWfg%3D%3D&xkcb=SoBm67M3CTYqoaTA550JbzkdCdPP&fccid=4df8c09240f8f9eb&vjs=3
Data Scientist,AE Studio,"Home office in Florianópolis, SC",https://br.indeed.com/rc/clk?jk=b49f816f7573cc6c&bb=SrN5kit2zhmcE5L7fapUxioArVm6xb-d3z4fR8bOLJmowJDLGGPZBTTI5AdEeyoDcQIJVDXaMmmP-oyBe17z4CTzuHDrcKXVFUzUqYsbH17PetTD90khNw%3D%3D&xkcb=SoDS67M3CTYqoaTA550IbzkdCdPP&fccid=dbb7e0d690f678bb&vjs=3
Pontotel - Analista de Infraestrutura - (Remoto),Pontotel,,https://br.indeed.com/rc/clk?jk=2cd7ffb4e14477da&bb=SrN5kit2zhmcE5L7fapUxlvJW1BmuK7zE5ggMXkPtf8UBAyeQ4qxL0PbQYaQIoERtmvuvyscL4iLk-TTg2LBQSEzAX8jU8iigGyCbyP5W058HuOhJ2HA7g%3D%3D&xkcb=SoBc67M3CTYqoaTA550PbzkdCdPP&fccid=d713310ada3b2a7f&vjs=3
Analista de TI,Unimed Costa Verde,"Itaguaí, RJ",https://br.indeed.com/rc/clk?jk=6c1c87b1ca341fd3&bb=SrN5kit2zhmcE5L7fapUxlnRK0qDc-7DeF_4DxCfc97qQq65W4T6QDOLObn2QRTnWHmodfyT0PUIJC7qHQUDTojAp6RXF0Te0Xc53T7ZyPFe0eH0P4FrFw%3D%3D&xkcb=SoDo67M3CTYqoaTA550ObzkdCdPP&fccid=6ff093f828ef5b0e&vjs=3
Analista de dados,Droom Investimento em Ativos Judiciais,"Rio de Janeiro, RJ",https://br.indeed.com/rc/clk?jk=9d21d3b38835c43b&bb=SrN5kit2zhmcE5L7fapUxkm9OKgYDhtw9bMUUbTL50_h4W1x0JE15BB88D1qwxmu9Hao0vELKjjRUWrMvIMdDE59O2syhUSCVbVTMw0PvolBrKNbqsLiVw%3D%3D&xkcb=SoB167M3CTYqoaTA550NbzkdCdPP&fccid=bd94ec949bf78fc9&vjs=3
